Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

Monte Carlo balance  (sims=300 per cell)

出身         敌人                     胜率      均剩余HP        均回合      血量比         胜场
------------------------------------------------------------------------------
astrologer 学院辉石法师             100.0%      55.7        2.0    89.8%      300
astrologer 凯丹佣兵               100.0%      54.0        2.4    87.1%      300
astrologer 坠星兽                100.0%      41.9        3.5    67.6%      300
astrologer 熔炉骑士               100.0%      35.2        4.6    56.8%      300
astrologer 葛瑞克骑士              100.0%      52.5        2.9    84.8%      300
astrologer 葛瑞克士兵              100.0%      58.6        2.0    94.5%      300
astrologer 守墓斗士               100.0%      39.9        3.5    64.3%      300
astrologer 亚人                 100.0%      57.4        2.0    92.6%      300
astrologer 亚人首领               100.0%      41.1        3.3    66.3%      300
astrologer 腐败眷属               100.0%      54.3        2.3    87.6%      300
astrologer 恶兆妖鬼玛尔基特            82.0%      31.3        5.0    50.5%      246
astrologer 狮子混种               100.0%      46.3        2.5    74.7%      300
astrologer 接肢贵族                89.0%      31.9        5.4    51.5%      267
astrologer 挖石矿工               100.0%      57.2        2.1    92.2%      300
astrologer 挖石山妖               100.0%      40.5        3.8    65.4%      300
astrologer 大树守卫               100.0%      47.5        3.0    76.7%      300
astrologer 法姆亚兹拉的兽人           100.0%      41.4        3.1    66.8%      300
astrologer 野狼                 100.0%      56.8        2.0    91.6%      300
prophet    学院辉石法师             100.0%      54.5        3.5    82.6%      300
prophet    凯丹佣兵               100.0%      49.5        4.1    75.0%      300
prophet    坠星兽                100.0%      39.0        6.1    59.1%      300
prophet    熔炉骑士               100.0%      34.9        8.1    52.8%      300
prophet    葛瑞克骑士              100.0%      50.8        4.8    76.9%      300
prophet    葛瑞克士兵              100.0%      60.1        3.5    91.0%      300
prophet    守墓斗士               100.0%      38.4        5.5    58.2%      300
prophet    亚人                 100.0%      57.2        3.4    86.6%      300
prophet    亚人首领                99.0%      36.8        5.9    55.7%      297
prophet    腐败眷属               100.0%      47.8        4.1    72.4%      300
prophet    恶兆妖鬼玛尔基特            21.3%      17.0        8.3    25.8%       64
prophet    狮子混种               100.0%      40.3        4.4    61.1%      300
prophet    接肢贵族                18.7%      22.5        9.3    34.1%       56
prophet    挖石矿工               100.0%      56.8        4.0    86.0%      300
prophet    挖石山妖               100.0%      37.8        6.9    57.3%      300
prophet    大树守卫               100.0%      42.8        5.2    64.9%      300
prophet    法姆亚兹拉的兽人           100.0%      37.9        5.5    57.5%      300
prophet    野狼                 100.0%      58.6        2.9    88.8%      300
samurai    学院辉石法师             100.0%      62.8        2.2    89.7%      300
samurai    凯丹佣兵               100.0%      61.6        2.2    88.0%      300
samurai    坠星兽                100.0%      51.9        3.2    74.1%      300
samurai    熔炉骑士               100.0%      42.9        4.0    61.2%      300
samurai    葛瑞克骑士              100.0%      58.4        3.0    83.4%      300
samurai    葛瑞克士兵              100.0%      66.3        2.1    94.7%      300
samurai    守墓斗士               100.0%      49.9        3.0    71.3%      300
samurai    亚人                 100.0%      65.1        2.0    93.0%      300
samurai    亚人首领               100.0%      48.9        3.1    69.8%      300
samurai    腐败眷属               100.0%      62.2        2.2    88.9%      300
samurai    恶兆妖鬼玛尔基特            97.7%      38.2        4.1    54.6%      293
samurai    狮子混种               100.0%      53.2        2.4    76.0%      300
samurai    接肢贵族                99.0%      40.6        4.3    58.0%      297
samurai    挖石矿工               100.0%      64.3        2.1    91.8%      300
samurai    挖石山妖               100.0%      50.5        3.4    72.1%      300
samurai    大树守卫               100.0%      54.2        3.0    77.4%      300
samurai    法姆亚兹拉的兽人           100.0%      49.4        3.0    70.5%      300
samurai    野狼                 100.0%      63.9        2.0    91.2%      300
vagabond   学院辉石法师             100.0%      72.7        2.9    93.1%      300
vagabond   凯丹佣兵               100.0%      71.8        3.2    92.1%      300
vagabond   坠星兽                100.0%      62.5        4.6    80.1%      300
vagabond   熔炉骑士               100.0%      52.4        6.1    67.1%      300
vagabond   葛瑞克骑士              100.0%      72.0        3.6    92.3%      300
vagabond   葛瑞克士兵              100.0%      75.2        2.7    96.4%      300
vagabond   守墓斗士               100.0%      58.5        4.3    75.0%      300
vagabond   亚人                 100.0%      75.1        2.4    96.3%      300
vagabond   亚人首领               100.0%      56.1        4.5    71.9%      300
vagabond   腐败眷属               100.0%      68.5        3.1    87.8%      300
vagabond   恶兆妖鬼玛尔基特            99.0%      40.0        6.7    51.3%      297
vagabond   狮子混种               100.0%      65.3        3.3    83.8%      300
vagabond   接肢贵族                95.0%      37.7        7.3    48.3%      285
vagabond   挖石矿工               100.0%      74.0        3.0    94.9%      300
vagabond   挖石山妖               100.0%      60.8        5.1    78.0%      300
vagabond   大树守卫               100.0%      67.9        3.8    87.1%      300
vagabond   法姆亚兹拉的兽人           100.0%      61.7        4.2    79.1%      300
vagabond   野狼                 100.0%      75.4        2.1    96.7%      300
warrior    学院辉石法师             100.0%      60.2        2.7    88.5%      300
warrior    凯丹佣兵               100.0%      58.3        2.9    85.7%      300
warrior    坠星兽                100.0%      45.6        4.1    67.0%      300
warrior    熔炉骑士               100.0%      39.4        5.4    57.9%      300
warrior    葛瑞克骑士              100.0%      59.3        3.2    87.3%      300
warrior    葛瑞克士兵              100.0%      65.4        2.4    96.1%      300
warrior    守墓斗士               100.0%      42.3        4.0    62.2%      300
warrior    亚人                 100.0%      63.6        2.2    93.5%      300
warrior    亚人首领               100.0%      42.3        3.9    62.3%      300
warrior    腐败眷属               100.0%      57.7        2.9    84.9%      300
warrior    恶兆妖鬼玛尔基特            87.0%      31.5        5.8    46.3%      261
warrior    狮子混种               100.0%      48.5        3.0    71.3%      300
warrior    接肢贵族                85.7%      30.5        6.4    44.9%      257
warrior    挖石矿工               100.0%      62.7        2.4    92.2%      300
warrior    挖石山妖               100.0%      43.0        4.5    63.2%      300
warrior    大树守卫               100.0%      53.2        3.4    78.3%      300
warrior    法姆亚兹拉的兽人           100.0%      42.9        3.8    63.1%      300
warrior    野狼                 100.0%      63.5        2.0    93.3%      300
wretch     学院辉石法师             100.0%      45.5        3.0    75.9%      300
wretch     凯丹佣兵               100.0%      45.3        3.0    75.4%      300
wretch     坠星兽                100.0%      38.2        4.0    63.6%      300
wretch     熔炉骑士               100.0%      35.5        5.6    59.2%      300
wretch     葛瑞克骑士              100.0%      45.2        3.5    75.3%      300
wretch     葛瑞克士兵              100.0%      51.1        3.0    85.2%      300
wretch     守墓斗士               100.0%      39.0        4.0    64.9%      300
wretch     亚人                 100.0%      54.3        2.0    90.5%      300
wretch     亚人首领               100.0%      36.9        4.0    61.4%      300
wretch     腐败眷属               100.0%      45.2        3.0    75.3%      300
wretch     恶兆妖鬼玛尔基特            57.0%      29.4        6.4    49.1%      171
wretch     狮子混种               100.0%      39.5        3.0    65.9%      300
wretch     接肢贵族                57.0%      30.0        7.1    50.0%      171
wretch     挖石矿工               100.0%      49.1        3.0    81.8%      300
wretch     挖石山妖               100.0%      37.6        4.7    62.7%      300
wretch     大树守卫               100.0%      41.7        3.5    69.5%      300
wretch     法姆亚兹拉的兽人           100.0%      38.5        4.0    64.2%      300
wretch     野狼                 100.0%      53.6        2.0    89.3%      300

done
